,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
DDX11L1,6.5903133437894,-0.20253417783228947,0.09843130145361847,-2.0576196275097005,0.03962666103410703,0.09919448052408729
WASH7P,343.98112893518703,0.06167165929843333,0.05088672862987052,1.2119399489601312,0.22553536853231537,0.37610060211960167
MIR6859-1,10.153971127987711,0.19828138544770124,0.06693738203692735,2.9621921176767163,0.0030545712609392436,0.011984193366495
MIR1302-2HG,0.5561610476351352,-0.34262772351707754,0.19699069443587516,-1.7393091815746173,0.08198039316781935,0.1747208610676971
MIR1302-2,0.17094794816901854,-0.23980377984135096,0.40665554306577023,-0.5896975559056044,0.5553934341010429,
FAM138A,0.7417210453748855,0.25149388907838255,0.17335583441817906,1.4507379571183876,0.14685284174087654,0.2721123914323845
OR4F5,0.027659197738013598,-0.2241567898219403,2.0160061715163553,-0.11118854346231437,0.9114668362922411,
LOC100996442,187.05823595531885,-0.16390688704876485,0.05374495739490948,-3.0497165686522525,0.0022905742077528515,0.009413732204047526
LOC729737,192.79792179918303,0.19641121321498156,0.09521349086140654,2.0628506678836005,0.039126818370406005,0.09819464705294449
DDX11L17,8.750232902193925,-0.26968547553125094,0.1123430733062208,-2.4005527674692657,0.016370330329976757,0.0487309005421315
WASH9P,383.93800166584106,0.08921812532599536,0.06754420416151387,1.3208849883352556,0.1865397158734481,0.3260545005252626
MIR6859-2,11.016021841466673,0.12897180168739028,0.053231347981951845,2.422854325070226,0.015399100380297072,0.04631722843502589
LOC107985721,0.8820356827794008,-0.10093531954212373,0.15936587593224535,-0.6333559110548643,0.5265012494200274,0.6769334572878904
LOC112268260,94.47081689521006,-0.09551444663813606,0.07965471346035657,-1.1991060225917796,0.23048672258720881,0.3821315908946145
OR4F29,0.1894974617953235,0.005234155956052935,0.3572778171373573,0.01465010057996586,0.988311329048903,
LOC100132287,197.83129896935907,0.0664956992317226,0.067392944717952,0.986686358787489,0.3237964194599331,0.4864373568159584
LOC105378947,2.5424350940219793,0.06865852209733736,0.09810238152300517,0.6998660076487218,0.4840109876478078,0.6400518410582786
LOC101928626,0.12332610145050084,-0.025310287774681046,0.7204330072459925,-0.035132049087305106,0.9719744457032797,
MIR12136,2632.37808469424,-0.18458406535218677,0.06353959561075813,-2.905024238475546,0.0036722466090680335,0.01401776155445931
OR4F16,7.432888115935289,-0.12500586800740252,0.06771810913688005,-1.8459739883570212,0.06489598238961786,0.14574659015270766
LOC100133331,216.03588383240682,0.03520968047448005,0.06503168790534979,0.5414234446094326,0.5882157512962065,0.7273022835540818
LOC107984841,65.84332558793544,0.05891679052366433,0.07076406026998146,0.8325806956085191,0.40508125001737727,0.5678917895080546
LOC107984847,92.01466879697388,0.08367207168452467,0.06921152846673474,1.2089325801371391,0.22668874811324213,0.3776431156671655
LOC107984849,24.20393868244117,0.0828740820521857,0.07885940409455691,1.0509093113716022,0.2933002434378231,0.4550582752022797
LOC100288069,99.33759547750533,-0.18551146866407442,0.05064418233002031,-3.663036110548653,0.0002492433861698466,0.001395687233455457
LINC01409,51.09590997579671,-0.22691917361244518,0.04912074195737582,-4.619620237197409,3.844430450001174e-06,3.6034508935039613e-05
FAM87B,27.41841272115363,-0.005088289334828948,0.04400848256387944,-0.11562064943827968,0.9079531967782052,0.9500436645283373
LINC00115,26.881502761718043,-0.012404201506116168,0.046591065142614,-0.2662356284010087,0.790057745384677,0.8741922249869927
LINC01128,1070.6179736024242,-0.2738051416280741,0.04710122345893183,-5.813121645700103,6.131846832653802e-09,1.1279844005071447e-07
LOC107984850,1.2034968398366208,-0.3082485012668768,0.2695608006839209,-1.143521240791683,0.2528222408709989,0.4088637840739287
FAM41C,6.2396701319284915,-0.3963536632493158,0.07849524287607895,-5.049397246595471,4.432062507292832e-07,5.2698652909294774e-06
LOC284600,0.4347360678863078,-0.023571241012119763,0.26487332619484555,-0.08899061808428509,0.9290893662215041,0.9619817803509824
LINC02593,5.17973371496902,-0.051443476382238285,0.11654072371525283,-0.4414206016768143,0.6589085303219223,0.7816669244934161
LOC107985728,4.210202960088228,-0.03524380377753342,0.1345235236150761,-0.26198989463270067,0.7933292330756144,0.8763651916136106
