# CID1 : after 8-week LCD (with 800-1000kcal/d) 
# CID2 : 6-month after LCD.
RNASEQ_SAMPLEID	TIMEPOINT
B00EVC7	CID1
B00EVHE	CID2
B00EVC9	CID1
B00EVHG	CID2
B00EVHH	CID2
B00EVCA	CID1
B00EVHL	CID2
B00EVCE	CID1
B00EVCF	CID1
B00EVHM	CID2
B00EVHP	CID2
B00EVCI	CID1
B00EVCK	CID1
B00EVIU	CID2
B00EVHR	CID2
B00EVCL	CID1
B00EVCO	CID1
B00EVIV	CID2
B00EVBV	CID1
B00EVHA	CID2
B00EVHW	CID2
B00EVCQ	CID1
B00EVCS	CID1
B00EVDO	CID2
B00EVCT	CID1
B00EVDP	CID2
B00EVCU	CID1
B00EVDQ	CID2
B00EVCV	CID1
B00EVDR	CID2
B00EVDU	CID2
B00EVCY	CID1
B00EVBY	CID1
B00EVDB	CID2
B00EVDW	CID2
B00EVD0	CID1
B00EVC0	CID1
B00EVDD	CID2
B00EVDY	CID2
B00EVD2	CID1
B00EVD3	CID1
B00EVEU	CID2
B00EVC2	CID1
B00EVDF	CID2
B00EVDZ	CID2
B00EVD5	CID1
B00EVD7	CID1
B00EVE1	CID2
B00EVC4	CID1
B00EVDH	CID2
B00EVHZ	CID1
B00EVE5	CID2
B00EVE7	CID2
B00EVI1	CID1
B00EVE8	CID2
B00EVI2	CID1
B00EVED	CID2
B00EVIQ	CID1
B00EVI7	CID1
B00EVEE	CID2
B00EVH3	CID1
B00EVDI	CID2
B00EVI8	CID1
B00EVEF	CID2
B00EVEH	CID2
B00EVIA	CID1
B00EVIB	CID1
B00EVEI	CID2
B00EVEK	CID2
B00EVIC	CID1
B00EVEL	CID2
B00EVID	CID1
B00EVEX	CID2
B00EVIF	CID1
B00EVEY	CID2
B00EVIG	CID1
B00EVEQ	CID2
B00EVIL	CID1
B00EVIM	CID1
B00EVER	CID2
B00EVIN	CID1
B00EVES	CID2
B00EVH6	CID1
B00EVDL	CID2
B00EVH7	CID1
B00EVDM	CID2
B00EVKK	CID2
B00EVJJ	CID1
B00EVL3	CID2
B00EVK0	CID1
B00EVK1	CID1
B00EVL4	CID2
B00EVJK	CID1
B00EVKM	CID2
B00EVK2	CID1
B00EVL5	CID2
B00EVL6	CID2
B00EVK3	CID1
B00EVKO	CID2
B00EVJM	CID1
B00EVLB	CID2
B00EVK8	CID1
B00EVN1	CID2
B00EVMJ	CID1
B00EVJO	CID1
B00EVKQ	CID2
B00EVMK	CID1
B00EVKR	CID2
B00EVJP	CID1
B00EVKS	CID2
B00EVJQ	CID1
B00EVKT	CID2
B00EVK9	CID1
B00EVLC	CID2
B00EVJS	CID1
B00EVKV	CID2
B00EVMU	CID1
B00EVLD	CID2
B00EVKA	CID1
B00EVLF	CID2
B00EVKB	CID1
B00EVLG	CID2
B00EVMO	CID1
B00EVKY	CID2
B00EVMY	CID2
B00EVMX	CID1
B00EVLI	CID2
B00EVKC	CID1
B00EVKD	CID1
B00EVMZ	CID2
B00EVJT	CID1
B00EVL0	CID2
B00EVLJ	CID2
B00EVKE	CID1
B00EVJU	CID1
B00EVL1	CID2
B00EVJV	CID1
B00EVL2	CID2
B00EVKF	CID1
B00EVLO	CID2
B00EVJX	CID1
B00EVLM	CID2
B00EVLP	CID2
B00EVKH	CID1
B00EVKI	CID1
B00EVLQ	CID2
B00EVNH	CID2
B00EVNG	CID1
B00EVOX	CID1
B00EVQ3	CID2
B00EVPJ	CID2
B00EVO9	CID1
B00EVOA	CID1
B00EVPK	CID2
B00EVN9	CID1
B00EVNF	CID2
B00EVNO	CID2
B00EVNN	CID1
B00EVOD	CID1
B00EVPM	CID2
B00EVOF	CID1
B00EVPO	CID2
B00EVOH	CID1
B00EVPQ	CID2
B00EVOJ	CID1
B00EVQO	CID2
B00EVPS	CID2
B00EVOK	CID1
B00EVOV	CID1
B00EVQ2	CID2
B00EVSS	CID1
B00EVU0	CID2
B00EVST	CID1
B00EVU1	CID2
B00EVTF	CID1
B00EVUI	CID2
B00EVUK	CID2
B00EVTG	CID1
B00EVSV	CID1
B00EVU2	CID2
B00EVUM	CID2
B00EVTH	CID1
B00EVT0	CID1
B00EVU5	CID2
B00EVT1	CID1
B00EVU6	CID2
B00EVU8	CID2
B00EVUY	CID1
B00EVT3	CID1
B00EVTB	CID2
B00EVUC	CID2
B00EVT8	CID1
B00EVUF	CID2
B00EVTX	CID1
B00EVY6	CID2
B00EVVU	CID1
B00EVXD	CID2
B00EVWZ	CID1
B00EVVF	CID1
B00EVXE	CID2
B00EVVY	CID1
B00EVYA	CID2
B00EVW0	CID1
B00EVYC	CID2
B00EVW1	CID1
B00EVYD	CID2
B00EVW6	CID1
B00EVYH	CID2
B00EVX2	CID1
B00EVYJ	CID2
B00EVYK	CID2
B00EVW7	CID1
B00EVYL	CID2
B00EVW8	CID1
B00EVWA	CID1
B00EVYN	CID2
B00EVWB	CID1
B00EVYO	CID2
B00EVWD	CID1
B00EVYQ	CID2
B00EVYS	CID2
B00EVWF	CID1
B00EVYT	CID2
B00EVX4	CID1
B00EVXI	CID2
B00EVX1	CID1
B00EVX5	CID1
B00EVYX	CID2
B00EVWK	CID1
B00EVYZ	CID2
B00EVZ0	CID2
B00EVWL	CID1
B00EVWM	CID1
B00EVZ1	CID2
B00EVXL	CID2
B00EVVK	CID1
B00EVVM	CID1
B00EVXN	CID2
B00EVVN	CID1
B00EVXO	CID2
B00EVZ4	CID2
B00EVWP	CID1
B00EVVO	CID1
B00EVXP	CID2
B00EVVP	CID1
B00EVXQ	CID2
B00EVXR	CID2
B00EVVQ	CID1
B00EVWQ	CID1
B00EVZ5	CID2
B00EVWS	CID1
B00EW0E	CID2
B00EVXA	CID1
B00EVZ9	CID2
B00EW0W	CID2
B00EVXX	CID1
B00EW0Y	CID2
B00EVXZ	CID1
B00EW0Z	CID2
B00EVY0	CID1
B00EVY1	CID1
B00EW10	CID2
B00EVY4	CID1
B00EW13	CID2
B00EVY5	CID1
B00EW14	CID2
B00EW1P	CID1
B00EW2A	CID2
B00EW2B	CID2
B00EW1Q	CID1
B00EW2E	CID2
B00EW2D	CID1
B00EW2F	CID1
B00EW2G	CID2
B00EW4Q	CID2
B00EW2J	CID1
B00EW4R	CID2
B00EW2K	CID1
B00EW4S	CID2
B00EW2L	CID1
B00EW2O	CID1
B00EW4V	CID2
B00EW4W	CID2
B00EW2Q	CID1
B00EW4X	CID2
B00EW2R	CID1
B00EW3X	CID2
B00EW1T	CID1
B00EW51	CID2
B00EW2V	CID1
B00EW52	CID2
B00EW2W	CID1
B00EW1V	CID1
B00EW3Z	CID2
B00EW2Y	CID1
B00EW54	CID2
B00EW55	CID2
B00EW2Z	CID1
B00EW30	CID1
B00EW56	CID2
B00EW31	CID1
B00EW57	CID2
B00EW32	CID1
B00EW58	CID2
B00EW34	CID1
B00EW5A	CID2
B00EW5B	CID2
B00EW35	CID1
B00EW36	CID1
B00EW5C	CID2
B00EW5E	CID2
B00EW38	CID1
B00EW41	CID2
B00EW1X	CID1
B00EW1Y	CID1
B00EW42	CID2
B00EW3A	CID1
B00EW5G	CID2
B00EW61	CID2
B00EW3V	CID1
B00EW3E	CID1
B00EW5K	CID2
B00EW3F	CID1
B00EW5L	CID2
B00EW3G	CID1
B00EW5M	CID2
B00EW5P	CID2
B00EW3J	CID1
B00EW22	CID1
B00EW46	CID2
B00EW25	CID1
B00EW49	CID2
B00EW26	CID1
B00EW4A	CID2
B00EW3N	CID1
B00EW5T	CID2
B00EW5W	CID2
