GeneID	Symbol	Description	Synonyms	GeneType	EnsemblGeneID	Status	ChrAcc	ChrStart	ChrStop	Orientation	Length	GOFunctionID	GOProcessID	GOComponentID	GOFunction	GOProcess	GOComponent
100287102	DDX11L1	DEAD/H-box helicase 11 like 1 (pseudogene)		pseudo	ENSG00000290825	active	NC_000001.11	11874	14409	positive	1652						
653635	WASH7P	WASP family homolog 7, pseudogene	FAM39F|WASH5P	pseudo		active	NC_000001.11	14362	29370	negative	1769						
102466751	MIR6859-1	microRNA 6859-1	hsa-mir-6859-1	ncRNA	ENSG00000278267	active	NC_000001.11	17369	17436	negative	68						
107985730	MIR1302-2HG	MIR1302-2 host gene		ncRNA		active	NC_000001.11	29926	31295	positive	538						
100302278	MIR1302-2	microRNA 1302-2	MIRN1302-2|hsa-mir-1302-2	ncRNA	ENSG00000284332	active	NC_000001.11	30366	30503	positive	138		GO:0035195			miRNA-mediated gene silencing	
645520	FAM138A	family with sequence similarity 138 member A	F379|FAM138F	ncRNA	ENSG00000237613	active	NC_000001.11	34611	36081	negative	1130						
79501	OR4F5	olfactory receptor family 4 subfamily F member 5		protein-coding	ENSG00000186092	active	NC_000001.11	69091	70008	positive	918	GO:0004930///GO:0004984	GO:0007186///GO:0050911	GO:0005886	G protein-coupled receptor activity///olfactory receptor activity	G protein-coupled receptor signaling pathway///detection of chemical stimulus involved in sensory perception of smell	plasma membrane
100996442	LOC100996442	WAS protein family homolog 2-like		ncRNA		active	NC_000001.11	89006	267354	negative	4894						
729737	LOC729737	uncharacterized LOC729737		ncRNA		active	NC_000001.11	134773	140566	negative	5474						
102725121	DDX11L17	DEAD/H-box helicase 11 like 17 (pseudogene)		pseudo		active	NC_000001.11	182388	184878	positive	1607						
102723897	WASH9P	WAS protein family homolog 9, pseudogene		pseudo		active	NC_000001.11	184878	199860	negative	1761						
102465909	MIR6859-2	microRNA 6859-2	hsa-mir-6859-2	ncRNA		active	NC_000001.11	187891	187958	negative	68						
107985721	LOC107985721					discontinued	NC_000001.11	200442	203983	positive	2706						
112268260	LOC112268260	uncharacterized LOC112268260		protein-coding		active	NC_000001.11	350706	476822	negative	6593						
729759	OR4F29	olfactory receptor family 4 subfamily F member 29	OR7-21	protein-coding	ENSG00000284733	active	NC_000001.11	450740	451678	negative	939	GO:0004930///GO:0004984///GO:0005515	GO:0007186///GO:0050911	GO:0005886	G protein-coupled receptor activity///olfactory receptor activity///protein binding	G protein-coupled receptor signaling pathway///detection of chemical stimulus involved in sensory perception of smell	plasma membrane
100132287	LOC100132287	uncharacterized LOC100132287		ncRNA		active	NC_000001.11	490756	495445	negative	4370						
105378947	LOC105378947	proline-rich extensin-like protein EPR1		protein-coding		active	NC_000001.11	586287	611297	negative	2343						
101928626	LOC101928626	uncharacterized LOC101928626		ncRNA	ENSG00000230021	active	NC_000001.11	627380	629009	negative	798						
113219467	MIR12136	microRNA 12136		ncRNA		active	NC_000001.11	632615	632685	negative	71	GO:0030533	GO:0006412		triplet codon-amino acid adaptor activity	translation	
81399	OR4F16	olfactory receptor family 4 subfamily F member 16	OR1-1|OR7-21	protein-coding	ENSG00000284662	active	NC_000001.11	683910	720115	negative	5780	GO:0004930///GO:0004984///GO:0005515	GO:0007186///GO:0050911	GO:0005886	G protein-coupled receptor activity///olfactory receptor activity///protein binding	G protein-coupled receptor signaling pathway///detection of chemical stimulus involved in sensory perception of smell	plasma membrane
100133331	LOC100133331	replaced by ID 100288069				secondary	NC_000001.11	725759	730351	negative	4273						
107984841	LOC107984841	replaced by ID 100288069				secondary	NC_000001.11	732159	744785	negative	926						
107984847	LOC107984847	replaced by ID 100288069				secondary	NC_000001.11	735566	738953	negative	485						
107984849	LOC107984849	replaced by ID 100288069				secondary	NC_000001.11	739962	740334	negative	280						
100288069	LOC100288069	uncharacterized LOC100288069		ncRNA		active	NC_000001.11	764865	778688	negative	1371						
105378580	LINC01409	long intergenic non-protein coding RNA 1409		ncRNA		active	NC_000001.11	778742	809798	positive	5138						
400728	FAM87B	family with sequence similarity 87 member B		ncRNA	ENSG00000177757	active	NC_000001.11	817371	819834	positive	1944						
79854	LINC00115	long intergenic non-protein coding RNA 115	NCRNA00115	ncRNA		active	NC_000001.11	826206	827522	negative	1317						
643837	LINC01128	long intergenic non-protein coding RNA 1128		ncRNA	ENSG00000228794	active	NC_000001.11	827591	859446	positive	9233						
107984850	LOC107984850	uncharacterized LOC107984850		ncRNA	ENSG00000288531	active	NC_000001.11	860185	868202	positive	2454						
284593	FAM41C	family with sequence similarity 41 member C		ncRNA	ENSG00000230368	active	NC_000001.11	868071	876802	negative	1706						
284600	LOC284600	uncharacterized LOC284600		ncRNA		active	NC_000001.11	905115	914782	positive	3858						
100130417	LINC02593	long intergenic non-protein coding RNA 2593		ncRNA	ENSG00000223764	active	NC_000001.11	916818	919692	negative	1506						
107985728	LOC107985728	collagen alpha-1(III) chain-like		ncRNA		active	NC_000001.11	921013	924937	negative	3646						
148398	SAMD11	sterile alpha motif domain containing 11	MRS	protein-coding	ENSG00000187634	active	NC_000001.11	925731	944574	positive	2557	GO:0003682///GO:0005515///GO:0042393	GO:0045892	GO:0005634	chromatin binding///protein binding///histone binding	negative regulation of DNA-templated transcription	nucleus
26155	NOC2L	NOC2 like nucleolar associated transcriptional repressor	NET15|NET7|NIR|PPP1R112	protein-coding	ENSG00000188976	active	NC_000001.11	944203	959256	negative	2757	GO:0003682///GO:0003714///GO:0003723///GO:0005515///GO:0031491///GO:0042393///GO:0140297	GO:0000122///GO:0002903///GO:0006915///GO:0034644///GO:0035067///GO:0042273///GO:0045815///GO:2001243	GO:0005634///GO:0005654///GO:0005694///GO:0005730///GO:0005829///GO:0030690///GO:0030691	chromatin binding///transcription corepressor activity///RNA binding///protein binding///nucleosome binding///histone binding///DNA-binding transcription factor binding	negative regulation of transcription by RNA polymerase II///negative regulation of B cell apoptotic process///apoptotic process///cellular response to UV///negative regulation of histone acetylation///ribosomal large subunit biogenesis///transcription initiation-coupled chromatin remodeling///negative regulation of intrinsic apoptotic signaling pathway	nucleus///nucleoplasm///chromosome///nucleolus///cytosol///Noc1p-Noc2p complex///Noc2p-Noc3p complex
